,brand,model,operation_mode,feed_opening_shape,body_material,liner_material,applicable_number,power,cooking_function,function,capacity,speed_adjustment,type,cup_material,speed,status
164,ouke/欧科,GZJ-290A1,,,塑料,,,400-600W,,榨汁,,,,,,0
165,supor/苏泊尔,ZS43-250,,圆形,塑料,,,400-600W,,"辅食,制奶昔,榨汁",1L容量,,,塑料,20000-24999转/分钟,0
166,anmir/安蜜尔,AMR600B,,圆形,塑料,,,400-600W,,榨汁,0.4L容量,,,塑料,10000-14999转/分钟,0
167,msx/美善美心,SM-G31B,,圆形,塑料,,,400-600W,,榨汁,,,,塑料,10000-14999转/分钟,0
168,anmir/安蜜尔,AMR512A,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,豆浆,碎冰,榨汁,干磨",1.5L容量,,,塑料,20000-24999转/分钟,0
169,teables/泰博斯,YYJ-A004,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
170,anmir/安蜜尔,AMR600D,,月牙形,塑料,,,400-600W,,"搅拌,制奶昔,干磨,榨汁,豆浆",0.4L容量,,,塑料,20000-24999转/分钟,0
171,anmir/安蜜尔,AMR600L,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1L容量,,,塑料,20000-24999转/分钟,0
172,神厨,SG-350,,月牙形,塑料,,,400-600W,,"搅拌,榨汁,干磨",1.2L容量,,,塑料,20000-24999转/分钟,0
173,anmir/安蜜尔,AMR800B,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,豆浆,碎冰,榨汁,干磨",0.4L容量,,,塑料,20000-24999转/分钟,0
174,joyoung/九阳,JYZ-C515,,圆形,塑料,,,400-600W,,"搅拌,榨汁,干磨,碎肉",1.2L容量,,,塑料,20000-24999转/分钟,0
175,joyoung/九阳,JYZ-D57,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,干磨,榨汁,碎肉",1.2L容量,,,塑料,20000-24999转/分钟,0
176,nintaus/金正,JZM-3255,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,榨汁",0.5L容量,,,塑料,20000-24999转/分钟,0
177,sansui/山水,KT-8080G,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,榨汁",0.5L容量,,,塑料,15000-19999转/分钟,0
178,joyoung/九阳,JYZ-B521,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1L容量,,,塑料,15000-19999转/分钟,0
179,joyoung/九阳,JYZ-B500,,圆形,塑料,,,400-600W,,"碎冰,搅拌,榨汁,豆浆,碎肉",0.5L容量,,,塑料,15000-19999转/分钟,0
180,philips/飞利浦,HR1810,,圆形,塑料,,,400-600W,,"搅拌,榨汁",0.75L容量,,,塑料,15000-19999转/分钟,0
181,anmir/安蜜尔,AMR612,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1L容量,,,塑料,15000-19999转/分钟,0
182,goal/哥尔,GO-3807,,圆形,塑料,,,400-600W,,"搅拌,干磨,碎肉",0.4L容量,,,塑料,15000-19999转/分钟,0
183,deerma/德尔玛,JC-776P,,圆形,塑料,,,400-600W,,"搅拌,榨汁,干磨",1L容量,,,塑料,15000-19999转/分钟,0
184,philips/飞利浦,HR1849/19,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,打蛋,碎冰,榨汁",1L容量,,,塑料,10000-14999转/分钟,0
185,上岭,SL-01,,月牙形,塑料,,,400-600W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁",,,,塑料,10000-14999转/分钟,0
186,philips/飞利浦,HR1848,,圆形,塑料,,,400-600W,,"碎冰,搅拌,干磨,碎肉",1L容量,,,塑料,10000-14999转/分钟,0
187,philips/飞利浦,HR1811,,圆形,塑料,,,400-600W,,"搅拌,制奶昔,榨汁",0.5L容量,,,塑料,10000-14999转/分钟,0
188,braun/博朗,MP80,,月牙形,塑料,,,400-600W,,"搅拌,制奶昔,干磨",1L容量,,,塑料,5000-9999转/分钟,0
189,panasonic/松下,MJ-SJ01,,圆形,塑料,,,400-600W,,榨汁,1.5L容量,,,塑料,0-4999转/分钟,0
190,tonze/天际,DZJ-W980C,,月牙形,塑料,,,400-600W,,"搅拌,制奶昔,干磨,榨汁",1.5L容量,,,塑料,0-4999转/分钟,0
191,nuc/恩优希,NJ-620,按键式,月牙形,塑料,,,400-600W,,榨汁,1L容量,,,塑料,0-4999转/分钟,0
192,royalstar/荣事达,RZ-258K,,圆形,塑料,,,400-600W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1L容量,,,食品级PC材料,20000-24999转/分钟,0
193,joyoung/九阳,JYZ-D526,,圆形,塑料,,,400-600W,,"搅拌,果酱,碎肉,制奶昔,碎冰,榨汁,干磨",1.2L容量,,,食品级PC材料,15000-19999转/分钟,0
194,朋客,SG-350F,,圆形,塑料,,,400-600W,,"碎冰,搅拌,制奶昔,干磨,榨汁",0.5L容量,,,食品级材料,25000-29999转/分钟,0
195,rnice/雅乐思,ZZ-02M,,圆形,不锈钢,,,400-600W,,"搅拌,榨汁,干磨,碎肉",1.25L容量,,,不锈钢,20000-24999转/分钟,0
196,bluelounge,TB10,,圆形,不锈钢,,,400-600W,,"碎冰,搅拌,制奶昔,干磨,榨汁",,,,Tritan材料,20000-24999转/分钟,0
197,sanf/三富,2102,,圆形,塑料,,,400-600W,,"碎冰,榨汁",0.5L容量,,,Tritan材料,20000-24999转/分钟,0
198,peskoe/半球,HB-M901,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁",0.95L容量,,,,15000-19999转/分钟,0
199,madin/麦登,MD-207,,,,,5人以上,1000-1200W,,"搅拌,制奶昔,混合,打蛋,碎冰,榨汁,干磨",2L容量,2档以上,,,25000-29999转/分钟,0
200,severin,SM3710,,,,,3-5人,1000-1200W,,"碎冰,榨汁",,手动调速,,玻璃,20000-24999转/分钟,0
201,happybear/嗨皮熊,CALL HC-BL2000,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,2档以上,,玻璃,25000-29999转/分钟,0
202,joyoung/九阳,JYL-Y23,,,,,5人以上,1000-1200W,,"酱料,搅拌,鱼汤,榨汁,豆浆",1.75L容量,,,玻璃,30000-34999转/分钟,0
203,l-sun /小太阳,TM767,,,,,5人以上,1000-1200W,,"碎冰,碎肉,榨汁,搅拌",,,,食品级PC材料,25000-29999转/分钟,0
204,billions of heart/亿心,YX-767,,,,,5人以上,1000-1200W,,"碎冰,碎肉,切菜,干磨,榨汁",,,,食品级PC材料,25000-29999转/分钟,0
205,homeleader,K12/016,,,,,1-3人,1000-1200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",2.5L容量,2档以上,,食品级材料,45000-49999转/分钟,0
206,joyoung/九阳,JYL-Y28,,,,,,1000-1200W,,搅拌,1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
207,hanmeidun/汉美顿,K-600,,圆形,塑料,,,1000-1200W,,"搅拌,和面,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",2.5L容量,,,食品级材料,25000-29999转/分钟,0
208,blendfresh,570,,方形,塑料,,,1400-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,碎冰,榨汁,干磨",2L容量,,,塑料,25000-29999转/分钟,0
209,fronton/弗朗顿,106,,圆形,塑料,,,1400-1600W,,"搅拌,碎肉,制奶昔,打蛋,碎冰,榨汁,干磨",2L容量,,,食品级PC材料,40000-44999转/分钟,0
210,lienruib/力恩瑞博,LN-0707,,,,,5人以上,1400-1600W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",2L容量,2档以上,,Tritan材料,25000-29999转/分钟,0
211,couss/卡士,CM-1000,,,,,5人以上,1000-1200W,,"搅拌,和面,碎肉,切菜,打蛋,绞肉",5l容量,手动调速,,不锈钢,0-4999转/分钟,0
212,yibeinuo/伊贝诺,JB-01B,,,,,4-5人,100-200W,,"碎冰,搅拌,制奶昔,混合,果汁",1L容量,,,婴儿食品级材料,5000-9999转/分钟,0
213,tokebi/多可必,V5700D,,,,,5人以上,100-200W,,"碎冰,搅拌,榨汁,干磨,碎肉",,,,,20000-24999转/分钟,0
214,欧克斯,JR21B,,,,,4-5人,100-200W,,"打蛋,搅拌,切菜,绞肉,碎肉",2L容量,点动式,,玻璃,20000-24999转/分钟,0
215,欧克斯,JR181G,,,,,4-5人,100-200W,,"打蛋,搅拌,切菜,碎肉,绞肉",1.8L容量,点动式,,玻璃,15000-19999转/分钟,0
216,欧克斯,XG300-6,,,,,4-5人,100-200W,,"打蛋,搅拌,切菜,绞肉,碎肉",1.8L容量,点动式,,玻璃,15000-19999转/分钟,0
217,ashton/阿诗顿,IM-1203,,,,,4-5人,100-200W,,"做冰激淋,切菜,榨汁,制奶昔",,1档,,,0-4999转/分钟,0
218,jbo/进宝,HAY-812,,,,,5人以上,100-200W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,混合,打蛋,绞肉",2.6L容量,2档以上,,玻璃,0-4999转/分钟,0
219,xm/芯美,JB-L606,,圆形,塑料,,,100-200W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.8L容量,,,玻璃,20000-24999转/分钟,0
220,haier/海尔,HYF-P0101,,,,,1-3人,100-200W,,"搅拌,制奶昔,研磨,切菜,辅食,豆浆,榨汁",0.75L容量,2档以上,,塑料,20000-24999转/分钟,0
221,格明,GM-J04,,圆形,塑料,,1-3人,100-200W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.5L容量,2档以上,,塑料,15000-19999转/分钟,0
222,nintaus/金正,JZM-2010,,圆形,塑料,,,100-200W,,"搅拌,果酱,制奶昔,辅食,豆浆,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
223,nintaus/金正,JZM-2007,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,榨汁",,,,塑料,20000-24999转/分钟,0
224,方成,SS250-A,,,,,1-3人,100-200W,,研磨,,,,食品级PC材料,20000-24999转/分钟,0
225,aca/北美电器,AF-YM03,,,,,1-3人,100-200W,,制奶昔,0.4L,手动调速,,塑料,20000-24999转/分钟,0
226,vitaland/威的,VL-5000,,圆形,塑料,,1-3人,100-200W,,榨汁,1L容量,2档以上,,食品级PC材料,0-4999转/分钟,0
227,royalstar/荣事达,RZ-378E,,,,,2-5人,100-200W,,"碎冰,搅拌,榨汁,碎肉",,,,食品级材料,20000-24999转/分钟,0
228,bear/小熊,LLJ-B08G2,,圆形,塑料,,1-5人,100-200W,,"搅拌,制奶昔,干磨,榨汁,豆浆",0.8L容量,1档,,食品级材料,20000-24999转/分钟,0
229,sansui/山水,J09,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,辅食,豆浆,沙冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
230,惠佳乐,MDL-11,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,辅食,豆浆,面膜,榨汁",0.38L容量,,,Tritan材料,25000-29999转/分钟,0
231,全灶,QZZ-1,,圆形,不锈钢,,,100-200W,,"搅拌,切菜,干磨,榨汁,制奶昔",0.28L容量,,,玻璃,20000-24999转/分钟,0
232,洁诺斯,JNS-5S,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,豆浆,碎冰,榨汁,干磨",0.4L容量,,,玻璃,15000-19999转/分钟,0
233,洁诺斯,JNS-5S-1,,圆形,玻璃,,,100-200W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,豆浆,碎冰,榨汁,干磨",0.4L容量,,,玻璃,25000-29999转/分钟,0
234,都市主妇,3S,,圆形,食品级ABS,,,100-200W,,"搅拌,制奶昔,切菜,打蛋,碎冰,榨汁",0.38L容量,,,食品级PC材料,20000-24999转/分钟,0
235,惠佳乐,H-6,,圆形,塑料,,,100-200W,,"打蛋,搅拌,碎冰,制奶昔,榨汁",0.38L容量,,,食品级PC材料,20000-24999转/分钟,0
236,惠佳乐,HJL-3S,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,切菜,打蛋,碎冰,榨汁",0.38L容量,,,食品级PP材料,20000-24999转/分钟,0
237,royalstar/荣事达,RZ-20ST6,,圆形,不锈钢,,,100-200W,,"碎冰,搅拌,制奶昔,榨汁",0.38L容量,,,玻璃,20000-24999转/分钟,0
238,royalstar/荣事达,RZ-20S2,,圆形,塑料,,,100-200W,,"碎冰,搅拌,制奶昔,榨汁",0.4L容量,,,玻璃,0-4999转/分钟,0
239,royalstar/荣事达,RZ-20ST11,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,榨汁",0.4L容量,,,食品级PC材料,25000-29999转/分钟,0
240,海月,HY-698,,圆形,塑料,,,100-200W,,"搅拌,豆浆,制奶昔,打蛋,绞肉,研磨,沙冰,榨汁",0.4L容量,,,食品级PP材料,25000-29999转/分钟,0
241,洁诺斯,JNS-2S,,圆形,食品级PP,,,100-200W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,豆浆,碎冰,榨汁,干磨",0.38L容量,,,食品级PC材料,20000-24999转/分钟,0
242,洁诺斯,JNS-3S,,圆形,食品级PP,,,100-200W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,豆浆,碎冰,榨汁,干磨",0.38L容量,,,食品级PC材料,20000-24999转/分钟,0
243,都市主妇,5s,,圆形,玻璃,,,100-200W,,"搅拌,制奶昔,榨汁,豆浆,米糊",0.4L容量,,,玻璃,20000-24999转/分钟,0
244,bestday/贝尔斯顿,ZZJ-850,,月牙形,塑料,,,100-200W,,"搅拌,榨汁,干磨",,,,,,0
245,zkd/中科电,S-POW,,圆形,不锈钢,,,100-200W,,"搅拌,制奶昔,辅食,豆浆,沙冰,榨汁",0.45L容量,,,玻璃,20000-24999转/分钟,0
246,红辉,HH52-ZZ01,,圆形,塑料,,,100-200W,,"碎冰,搅拌,辅食,制奶昔,榨汁",0.8L容量,,,塑料,20000-24999转/分钟,0
247,joyoung/九阳,JYL-C02V,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,干磨,榨汁,碎肉",0.6L容量,,,塑料,20000-24999转/分钟,0
248,joyoung/九阳,JYZ-B520,,圆形,塑料,,,100-200W,,"搅拌,切菜,制奶昔",,,,塑料,15000-19999转/分钟,0
249,teables/泰博斯,TBS-JM8801,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,干磨,榨汁,碎肉",0.5L容量,,,塑料,25000-29999转/分钟,0
250,ouke/欧科,OK8011F,,圆形,塑料,,,100-200W,,"碎肉,和面,制奶昔,碎冰,榨汁,干磨",,,,塑料,0-4999转/分钟,0
251,bestday/贝尔斯顿,ZZJ802,按键式,月牙形,塑料,,,100-200W,,"辅食,榨汁,冰淇淋",1L容量,,,塑料,0-4999转/分钟,0
252,homeleader,SSD-002,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,切菜,打蛋,碎冰,榨汁",0.38L容量,,,食品级PC材料,20000-24999转/分钟,0
253,顺庭,CD-1,,圆形,塑料,,,100-200W,,"碎冰,搅拌,制奶昔,榨汁",0.55L容量,,,食品级PC材料,25000-29999转/分钟,0
254,木瓜,MGZ-302,,月牙形,塑料,,,100-200W,,"搅拌,制奶昔,榨汁",1L容量,,,塑料,,0
255,ouke/欧科,OK8051E,,圆形,塑料,,,100-200W,,"搅拌,榨汁,和面",,,,Tritan材料,0-4999转/分钟,0
256,gaobo/高博,HGM501A,,圆形,不锈钢,,,100-200W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
257,a mrx/阿麦思,001,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",0.6L容量,,,塑料,20000-24999转/分钟,0
258,haoteng/好腾,XSL-806,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",0.5L容量,,,塑料,20000-24999转/分钟,0
259,l-sun /小太阳,BL-3200,,圆形,塑料,,,100-200W,,"搅拌,榨汁",0.6L容量,,,塑料,20000-24999转/分钟,0
260,aux/奥克斯,HX-363,,圆形,塑料,,,100-200W,,"搅拌,辅食,干磨,碎肉",1.5L容量,,,食品级PC材料,20000-24999转/分钟,0
261,joyoung/九阳,JYL-C93T,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,酱汁,辅食,研磨,榨汁,干磨",0.6L容量,,,食品级PC材料,20000-24999转/分钟,0
262,oumete/欧美特,OMT-L712K,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,碎冰,榨汁,干磨",1.2L容量,,,食品级PC材料,20000-24999转/分钟,0
263,星箭,CJB-20,,圆形,食品级PP,,,100-200W,,"碎冰,搅拌,切菜,榨汁,制奶昔",0.6L容量,,,食品级PC材料,20000-24999转/分钟,0
264,xm/芯美,JB-838,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,榨汁",0.6L容量,,,食品级PC材料,10000-14999转/分钟,0
265,anmir/安蜜尔,AMR622,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,碎肉,干磨,碎冰,榨汁",0.6L容量,,,食品级材料,20000-24999转/分钟,0
266,韩优,PU-B008,,U形,不锈钢,,,100-200W,,"制奶昔,榨汁",0.5L容量,,,塑料,0-4999转/分钟,0
267,meiyueda/美悦达,HTZ-1022,,圆形,不锈钢,,,100-200W,,"搅拌,制奶昔,切菜,打蛋,碎冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
268,hanwei/韩伟,20J2,,圆形,塑料,,,100-200W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
269,meiyueda/美悦达,HTZ-1013,,圆形,不锈钢,,,100-200W,,"搅拌,制奶昔,打蛋,辅食,碎冰,榨汁,干磨",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
270,meiling/美菱,MJ-J160,,圆形,不锈钢,,,100-200W,,"碎冰,搅拌,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
271,meiyueda/美悦达,HTZ-1021,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,切菜,打蛋,碎冰,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
272,nintaus/金正,JZM-2016,,圆形,塑料,,,100-200W,,"搅拌,辅食,制奶昔,榨汁,豆浆",0.63L容量,,,Tritan材料,20000-24999转/分钟,0
273,royalstar/荣事达,RZ-728K,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,碎冰,榨汁,干磨",0.75L容量,,,,10000-14999转/分钟,0
274,whirlpool/惠而浦,WBL-MP301J,,,,,4-5人,100-200W,,"搅拌,榨汁",1.5L容量,2档以上,,塑料,20000-24999转/分钟,0
275,奇迪,QD-03,,圆形,塑料,,,100-200W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,Tritan材料,20000-24999转/分钟,0
276,deerma/德尔玛,DR808,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,米糊,辅食,豆浆,榨汁",0.42L容量,,,玻璃,25000-29999转/分钟,0
277,扬子,YZ-GB06,,圆形,塑料,,,100-200W,,"搅拌,榨汁",0.42L容量,,,塑料,20000-24999转/分钟,0
278,志仕,XL-A7,,圆形,玻璃,,,100-200W,,"搅拌,制奶昔,榨汁",0.42L容量,,,塑料,25000-29999转/分钟,0
279,hanjiaours/汉佳欧斯,YZ-A,,圆形,钢琴烤漆,,,100-200W,,"碎冰,搅拌,制奶昔,榨汁",0.6L容量,,,塑料,其他,0
280,爱煮,NB100,,圆形,塑料,,,100-200W,,"豆腐,果酱,制奶昔,冰淇淋,辅食,榨汁",0.28L容量,,,Tritan材料,15000-19999转/分钟,0
281,yalixi/亚力西,1602,,圆形,不锈钢,,,100-200W,,"打蛋,搅拌,制奶昔,榨汁",0.38L容量,,,玻璃,20000-24999转/分钟,0
282,nintaus/金正,JZM-S19,,圆形,不锈钢,,,100-200W,,"搅拌,辅食,制奶昔,榨汁",0.35L容量,,,玻璃,15000-19999转/分钟,0
283,都市主妇,6S,,圆形,塑料,,,100-200W,,"搅拌,制奶昔,切菜,打蛋,碎冰,榨汁",0.42L容量,,,玻璃,25000-29999转/分钟,0
284,konka/康佳,KJ-13T01,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,2档以上,,Tritan材料,30000-34999转/分钟,0
285,german pool/德国宝,PRO-6SS,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,,,Tritan材料,30000-34999转/分钟,0
286,欧美爵士,BL632E3R-C,,,,,4-5人,1200-1400W,,"碎冰,搅拌,制奶昔,榨汁,混合",2L容量,,,,25000-29999转/分钟,0
287,西贝乐,XBLL-S02,,,,,5人以上,1200-1400W,,"搅拌,碎肉,制奶昔,混合,碾磨,绞肉,碎冰,榨汁,干磨",2.2L容量,2档以上,,,35000-39999转/分钟,0
288,madin/麦登,MD-322,,,,,5人以上,1200-1400W,,"碎冰,搅拌,榨汁,干磨,混合",2L容量,2档以上,,,30000-34999转/分钟,0
289,lienruib/力恩瑞博,LN-0720D,,,,,5人以上,1200-1400W,,"搅拌,切丝/切片,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,2档以上,,Tritan材料,25000-29999转/分钟,0
290,luby/洛贝,LBL-GH01,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,米糊,绞肉,碎冰,榨汁,干磨,浓汤",1.75L容量,2档以上,,玻璃,45000-49999转/分钟,0
291,海盘,TM-503T,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,榨汁,干磨",2L容量,2档以上,,食品级材料,35000-39999转/分钟,0
292,l-sun /小太阳,TM-803T,,,,,5人以上,1200-1400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2.5L容量,2档以上,,食品级材料,35000-39999转/分钟,0
293,欧美爵士,BL462S-C,,,,,4-5人,1200-1400W,,"搅拌,切菜,榨汁,混合",,,,,25000-29999转/分钟,0
294,donshi/东仕,DS-8017,,,,,4-5人,1200-1400W,,"绞肉,搅拌,碎肉,制奶昔,混合,米糊,碎冰,榨汁,干磨",2L容量,,,,45000-49999转/分钟,0
295,oumaisi/欧麦斯,8088,,,,,4-5人,2000-2200W,,"搅拌,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",2L容量,2档以上,,塑料,45000-49999转/分钟,0
296,快易好,KYH-502,,,,,5人以上,1200-1400W,,"搅拌,制奶昔,和面,碎肉,切丝,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2.2L容量,2档以上,,食品级PC材料,25000-29999转/分钟,0
297,joyhands/技航,JH-PB05D,,,,,4-5人,1200-1400W,,搅拌,1.75L容量,,,,,0
298,supor/苏泊尔,ZS40-250,,月牙形,塑料,,,800-1000W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",0.8L容量,,,塑料,20000-24999转/分钟,0
299,kesun/科顺,KP60SA1,,圆形,不锈钢,,,800-1000W,,"碎冰,搅拌,制奶昔",1L容量,,,塑料,20000-24999转/分钟,0
300,panasonic/松下,MJ-M176P,,圆形,塑料,,,800-1000W,,"碎冰,搅拌,切菜,干磨,碎肉",1.2L容量,,,塑料,15000-19999转/分钟,0
301,supor/苏泊尔,ZQ40-250,,月牙形,塑料,,,800-1000W,,"碎冰,搅拌,制奶昔,榨汁,碎肉",1L容量,,,塑料,15000-19999转/分钟,0
302,hauswirt/海氏,HJE810,,圆形,不锈钢,,,800-1000W,,"碎冰,制奶昔,榨汁",1L容量,,,塑料,25000-29999转/分钟,0
303,hanmeidun/汉美顿,K-610,,圆形,塑料,,,800-1000W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",2L容量,,,食品级材料,30000-34999转/分钟,0
304,zkd/中科电,LZ602,,圆形,食品级PP,,,800-1000W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",1.7L容量,,,塑料,,0
305,philips/飞利浦,HR1871,,圆形,不锈钢,,,800-1000W,,"打蛋,搅拌,碎冰,制奶昔",1.5L容量,,,玻璃,10000-14999转/分钟,0
306,米技,MB-1118,,圆形,,,1-3人,600-800W,,"碎冰,制奶昔,榨汁",1.5L容量,2档以上,,,20000-24999转/分钟,0
307,goshen/戈绅,389,,,,,2-5人,600-800W,,"搅拌,制奶昔,绞肉,豆浆,沙冰,榨汁,浓汤",1.75L容量,2档以上,,玻璃,45000-49999转/分钟,0
308,caple/客浦,JE2600,,圆形,不锈钢,,,800-1000W,,"搅拌,制奶昔,干磨,榨汁,碎肉",1.5L容量,,,塑料,10000-14999转/分钟,0
309,russell hobbs/领豪,20221-56C,,,,,5人以上,600-800W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1L容量,2档以上,,塑料,20000-24999转/分钟,0
310,electrolux/伊莱克斯,ESTM6300R,,,,,,600-800W,,"打蛋,搅拌,混合",,,,塑料,20000-24999转/分钟,0
311,巴泰克,BTC-329CC,,,,,,600-800W,,"搅拌,榨汁",,,,聚碳酸酯材料,20000-24999转/分钟,0
312,usata/御尚堂,BL300A,,圆形,不锈钢,,,600-800W,,"搅拌,制奶昔,切菜,绞肉,辅食,研磨,沙冰,榨汁",1.2L容量,,,Tritan材料,25000-29999转/分钟,0
313,aux/奥克斯,HX-502,,圆形,不锈钢,,,600-800W,,"打蛋,搅拌,碎冰,制奶昔,干磨",1.2L容量,,,塑料,15000-19999转/分钟,0
314,skg,1326,,圆形,不锈钢,,,600-800W,,榨汁,0.5L容量,,,塑料,10000-14999转/分钟,0
315,deerma/德尔玛,JC-611-6,,圆形,塑料,,,600-800W,,搅拌,1L容量,,,塑料,20000-24999转/分钟,0
316,joyoung/九阳,JYZ-F620,,圆形,塑料,,,600-800W,,"搅拌,干磨,碎肉",0.5L容量,,,塑料,15000-19999转/分钟,0
317,joyoung/九阳,JYZ-F625,,圆形,塑料,,,600-800W,,"搅拌,榨汁,干磨",0.8L容量,,,塑料,15000-19999转/分钟,0
318,philips/飞利浦,HR1869/00,,圆形,塑料,,,600-800W,,"碎冰,搅拌,制奶昔",1.5L容量,,,塑料,15000-19999转/分钟,0
319,kps/祈和,KS-8000,,圆形,金属,,,600-800W,,"搅拌,榨汁",1.2L容量,,,塑料,0-4999转/分钟,0
320,hyundai/现代,HYZZ-3111,,,,,2-5人,2000-2200W,,"搅拌,制奶昔,混合,绞肉,榨汁,干磨",2L容量,,,Tritan材料,30000-34999转/分钟,0
321,thermos/膳魔师,EHA-2423E-G,,,,,1-3人,2000-2200W,,"搅拌,碎肉,制奶昔,混合,打蛋,碎冰,干磨",2L容量,2档以上,,,25000-29999转/分钟,0
322,kps/祈和,K9,,,,,4-5人,2000-2200W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",2L容量,2档以上,,,45000-49999转/分钟,0
323,ashton/阿诗顿,SM2016,,,,,4-5人,2000-2200W,,"搅拌,碎肉,绞肉,碎冰,榨汁,干磨",2L容量,2档以上,,,45000-49999转/分钟,0
324,whirlpool/惠而浦,WBL-CS115X,,,,,4-5人,2000-2200W,,"搅拌,碎肉,制奶昔,混合,绞肉,膳食理疗,碎冰,榨汁,干磨",2L容量,,,,45000-49999转/分钟,0
